USERNAME,TEXT,RETWEETS,ABOUT_BASEBALL
crackberrista,Foto cortesía de @FileRiot ・・・ Entrada buque escuela Simon Bolívar a puerto de #Acoruña España. https://www. instagram.com/p/BJDcqSLjjUx/,0,0
crackberrista,"Si todos hubiesen buscado en un diccionario, la puta diferencia entre comunismo, socialismo y democracia, otro gallo cantaría...",5,0
crackberrista,"@ve_borges vacía, no hubo temporada, solo colas para buscar comida .",0,0
crackberrista,Antes te decían, compra comida que va a haber un peo...ahora es un peo conseguir comida ...,105,0
VictorMarkno,Vamos por la remontada si va? @leones_cbbc,1,1
VictorMarkno,Los Cubs ganaron la Serie Mundial. Este si es el año de Los Tiburones de la Guaira https:// twitter.com/ArmyAnonymo/st atus/796225656363290624 …,3,1
VictorMarkno,El gran trabajo que ha hecho @rmonascal impulsando esto en la Universidad Simón Bolívar . Grandes los equipos Uesebistas https:// twitter.com/campusb/status /798299478268723202 …,5,0
VictorMarkno,Correo del Rector Enrique Planchart a la comunidad de la Universidad Simón Bolívar . #USBVe pic.twitter.com/kaR2UjvyzE,14,0
VictorMarkno,Universidad Simón Bolívar . Protesta por las firmas del 20% al Referéndum Revocatorio. #LaUniVeEnLaCalle pic.twitter.com/9jg2w3K4EK,26,0
VictorMarkno,Asamblea General de Estudiantes en la Universidad Simón Bolívar : Motivo: Suspención de Recolección del 20% @MovimientoDEMOS pic.twitter.com/XWnhUGc4wD,2,0
VictorMarkno,Sea como sea los trabajadores tienen que llevar comida a sus casas. El gobierno lo sabe y por eso juega con ellos. Juegan con la necesidad. https:// twitter.com/ljortega48/sta tus/788438380401004545 …,0,0
VictorMarkno,La USB sin comedor ni transporte;A esta hora en la sede de la OPSU . @jaarreaza Privatiza la educación universitaria! pic.twitter.com/vIU6Bg5zjN,7,0
VictorMarkno,@leanderperez1 @MERUSBdeverdad en ambos casos estoy en contra de ello. Si eso ocurriera hoy en la USB diría lo mismo.,0,0
VictorMarkno,Desde la USB rechazamos los hechos violentos en la #UCAT heridos por la represión de policial en Tachira pic.twitter.com/VSuiAKCzxK,8,0
VictorMarkno,La USB se mantiene en la calle exigiendo recolección de firmas para el RR. @ReporteYa @la_patilla #LaUniVeEnLaCalle pic.twitter.com/a1PBDUqoCm,9,0
VictorMarkno,La USB en la calle a esta hora #DefendamosLaSimon pic.twitter.com/HPAYXpI6ab,37,0
VictorMarkno,Después de 17 años: Familias divididas, amistades perdidas… ¿Seguiremos en la confrontación? Hablemos de #ReconciliaciónYJusticia en la USB pic.twitter.com/MSMSUKxrt7,5,0
VictorMarkno,El Consejo Directivo siguiendo el principio de la escultura de la USB "Lucha del hombre por la cima". https:// twitter.com/FCEUSB/status/ 782002669703598080 …,1,0
VictorMarkno,La USB sin comedor ni transporte;A esta hora en la sede de la OPSU. @jaarreaza Privatiza la educación universitaria! pic.twitter.com/vIU6Bg5zjN,7,0
VictorMarkno,Estudiantes de Catia no podrán estudiar en la USB por culpa del @Mppeuct . #ColapsoUSB . Jorge Arreza privatiza la educación universitaria.,9,0
VictorMarkno,Estudiantes pagaremos la irresponsabilidad del @Mppeuct . Sin transporte ni comedor nos será imposible estudiar en la USB .,0,0
VictorMarkno,Entre el @Mppeuct y la @opsuoficial tienen a la USB pasando roncha. #RecursosYAUSB . pic.twitter.com/dignp53ydp,0,0
jouvash,Muere Chavez -> Magallanes Gana Muere el chavismo -> La Vinotinto va al mundial Izzy pizzy lemon squishy,0,1
jouvash,Assassin’s Creed dio pena. Q manera de hacer una película a los coñazos,0,0
jouvash,me dirán loco pero a veces extraño la comida de los comedores #USB,1,0
