USERNAME,TEXT,RETWEETS,ABOUT_BASEBALL
crackberrista,"Si todos hubiesen buscado en un diccionario, la puta diferencia entre comunismo, socialismo y democracia, otro gallo cantaría...",5,0
VictorMarkno,El gran trabajo que ha hecho @rmonascal impulsando esto en la Universidad Simón Bolívar . Grandes los equipos Uesebistas https:// twitter.com/campusb/status /798299478268723202 …,5,0
VictorMarkno,Correo del Rector Enrique Planchart a la comunidad de la Universidad Simón Bolívar . #USBVe pic.twitter.com/kaR2UjvyzE,14,0
VictorMarkno,Universidad Simón Bolívar . Protesta por las firmas del 20% al Referéndum Revocatorio. #LaUniVeEnLaCalle pic.twitter.com/9jg2w3K4EK,26,0
VictorMarkno,Asamblea General de Estudiantes en la Universidad Simón Bolívar : Motivo: Suspención de Recolección del 20% @MovimientoDEMOS pic.twitter.com/XWnhUGc4wD,2,0
VictorMarkno,Sea como sea los trabajadores tienen que llevar comida a sus casas. El gobierno lo sabe y por eso juega con ellos. Juegan con la necesidad. https:// twitter.com/ljortega48/sta tus/788438380401004545 …,0,0
jouvash,Assassin’s Creed dio pena. Q manera de hacer una película a los coñazos,0,0
jouvash,me dirán loco pero a veces extraño la comida de los comedores #USB,1,0
fabi_ad,¿Te animas a participar en la organización de una de las mejores Jornadas interuniversitarias de Computación ? Visita https:// goo.gl/yXtVhY,0,0
AndresEspinoza,"""Mi mamá a veces le dice (a Ozzie) que si no me pone a jugar, no le dará comida "", señaló entre risas Ozney #Tiburones",2,0
AndresEspinoza,"Ozzie: ""He pensado en lo del libro para llevarlo a una fundación , pero vamos a ver si cuando termine esto quiero seguir hablando de pelota""",10,0
carlos_rmd,un pana en Canadá se compró una jarra de esas idéntica a las de cine citta en 8$ canadienses que equivale a 6$ americanos.,2,0
carlos_rmd,jaja qué tontos los que buscan comida en la basura. No se les ocurrió que podían ir a algún restaurante en Las Mercedes https:// twitter.com/aliciacastroar /status/808046238427922432 …,4,0
carlos_rmd,"@Betannnia y te aseguro que no pones la película porque imagínate, tienes que estudiar no perder tiempo",0,0
carlos_rmd,"@yayito73 @zerimaradenip @Javierito321 pendejo, mi abuela tiene 86 años y es primera vez en su vida que no encuentra su comida normal.",0,0
carlos_rmd,no les pasa que esto es lo que quieren almorzar y no la comida que tienen en el congelador? pic.twitter.com/lewJt5N46R,2,0
carlos_rmd,@xjotax_ y duermes en el sofá de la salita de computación,0,0
carlos_rmd,@SuperPanqsito en computación volvieron #publicidad,0,0
carlos_rmd,por qué a casi más nadie le gusta la música nigga? :(,0,0
carlos_rmd,"@Geor_Kufatty bueno, en el centro de acción social por la música eso no es dificil con la feria peruana que ponen en frente jajaja",0,0
AnSanchezRu,"Gallo: ""Lo más difícil de estar aquí será mantener mi peso. Me gusta mucho la comida , espero cosas buenas"" #magallanes",4,0
AnSanchezRu,"Infancia Feliz viernes!! Música - Un Solo Pueblo. Tema: ""Pastores de San Joaquín"" https:// youtu.be/jE0cL0nuTFs",0,0
AnSanchezRu,"Pedrique: ""Ese día se perdió 6-0, estábamos de últimos y la manera como pusieron música lo consideré una falta de respeto"" #Leones",13,0
JuanPa_Ch,Suspenden Festival de Música #SuenaCaracas por la muerte de Fidel Castro. Según el comunicado será programado para otra fecha #26Nov https:// twitter.com/jorgerpsuv/sta tus/802538468027105282 …,0,0
antoniobreak2,"Ya empezaron a sacar los Oscars, Grammy latinos, entre otros jajajajaja https:// twitter.com/UnPikachuMas/s tatus/814665479558168577 …",0,0
antoniobreak2,"@HBOLAT #MadMaxFuryRoad La veo, La vuelvo a ver y La vuelvo a ver y no me canso de verla que película !!",0,0
antoniobreak2,"Por que te dolió lo que escribí? Acaso les duele la verdad? o es q a ti no te falta la comida , medicina seguridad etc? #LogrosDeLaRevolucion https:// twitter.com/Beacandanga/st atus/797419622186307585 …",0,0
Dimewilni,"Ahora el ex de mi amiga invitándome para el cine , que le sucede?",0,0
Dimewilni,Aveces es necesario cambiar de protagonista para que la película sea un todo un éxito.,0,0
Dimewilni,Si me pongo a escuchar música despierto a mi mamá porque no tengo audífonos.,0,0
Dimewilni,Ando escuchando todo tipo de música .,0,0
Dimewilni,"Estos chavistas con su música a todo volumen, que ladilla.",0,0
Paul_Trejo,"Solo en La Estancia encontrarás, el buen sabor del restaurante , tan tan.",0,0
Paul_Trejo,Verga pero se están muriendo toda esa gente ligada al socialismo .,0,0
Paul_Trejo,La gente quiere que yo madure y lanzarán la película de Power Rangers #AsiNoSePuede,0,0
Paul_Trejo,Soy de esos que prefiere regalar mil veces comida que flores. pic.twitter.com/jIek41MLyB,0,0
Paul_Trejo,Mujeres que pidan comida y no flores. Esas son las que necesito en mi vida.,0,0
Paul_Trejo,@ZaritzaGiron @MoviesChaser apoyo la parte de la comida . Haydee como sabes q son 7lineas?,0,0
Paul_Trejo,"Y cuando más hambre tengo, más fotos de comida veo.",0,0
Paul_Trejo,"Entre pitos y matracas, entre música y sonrisas, el reloj ya nos avisa que ha llegado un año más",0,0
Paul_Trejo,La música vieja es la mejor.,0,0
Negrecio,¿Esto no lo dijo Simón Bolívar ? https:// twitter.com/AndreinaBorges /status/784828793219317760 …,1,0
Negrecio,Esa gente saqueando va a estar en febrero llorando porque no hay comida .,3,0
Negrecio,¿Cuánto tiene que ser tu salario hoy para que no se vaya todo en comida ?,0,0
Negrecio,"Una tragedia lo del Chapecoense, pero los videos que ruedan por las redes con música triste e imágenes de los jugadores rayan en lo morboso.",2,0
Negrecio,En la oficina del doctor tienen puesta música clásica: ¿Qué clase de HTV es este?,1,0
Negrecio,"Perga, las recomendaciones de música de Google Music >>>>>>>>>>>>> Las de Spotify.",0,0
MariaVaniuska,Dígame en el cine con las cotufas,0,0
MariaVaniuska,Karma es que chabe pretendía revivir el socialismo y ahora la derecha usa su gestión de mierda a su favor,0,0
MariaVaniuska,Quiero hacer mis pasantias en una cadena de comida rápida.,0,0
